sample,bestValue,bestWeight,bestFitness,average,time
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.097562ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.102717ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.16907ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.104683ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.081437ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.176109ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.113966ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.093889ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.116812ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.090309ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.171405ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.171661ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.11524ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.10676ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.155637ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.105765ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.044112ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.12904ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.064807ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.106803ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.10237ms
1,4|9|10|15|18|19|24|25|29|30|34|38|40|42|,120,215,215,22.099678ms
